attempt,accepted_index,status,reason,raw_path,measured_separation_ns,sample_interval_ns,threshold_adc,captured_utc
71,71,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_071.csv,0.05097881570077334,2.0,5000,2026-07-29T22:10:34.995512+00:00
72,72,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_072.csv,0.20858452926677273,2.0,5000,2026-07-29T22:10:35.168346+00:00
73,73,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_073.csv,0.1839127900832409,2.0,5000,2026-07-29T22:10:35.338584+00:00
74,74,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_074.csv,0.20263880630818676,2.0,5000,2026-07-29T22:10:35.506468+00:00
75,75,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_075.csv,0.09677494952006782,2.0,5000,2026-07-29T22:10:35.669666+00:00
76,76,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_076.csv,0.1839127900832409,2.0,5000,2026-07-29T22:10:35.850899+00:00
77,77,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_077.csv,0.12786396734759364,2.0,5000,2026-07-29T22:10:36.028670+00:00
78,78,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_078.csv,0.05817687250169001,2.0,5000,2026-07-29T22:10:36.198639+00:00
79,79,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_079.csv,0.08655017500245776,2.0,5000,2026-07-29T22:10:36.371475+00:00
80,80,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_080.csv,0.05027570734273468,2.0,5000,2026-07-29T22:10:36.546215+00:00
81,81,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_081.csv,0.1500238349792653,2.0,5000,2026-07-29T22:10:36.717839+00:00
82,82,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_082.csv,0.05097881570077334,2.0,5000,2026-07-29T22:10:36.889601+00:00
83,83,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_083.csv,0.012495332077833154,2.0,5000,2026-07-29T22:10:37.080383+00:00
84,84,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_084.csv,0.12786396734759364,2.0,5000,2026-07-29T22:10:37.270617+00:00
85,85,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_085.csv,0.05430855843133031,2.0,5000,2026-07-29T22:10:37.453310+00:00
86,86,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_086.csv,0.09677494952006782,2.0,5000,2026-07-29T22:10:37.631316+00:00
87,87,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_087.csv,0.1646737407695582,2.0,5000,2026-07-29T22:10:37.823386+00:00
88,88,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_088.csv,0.2294266504791267,2.0,5000,2026-07-29T22:10:37.995374+00:00
89,89,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_089.csv,0.23699161269814795,2.0,5000,2026-07-29T22:10:38.165711+00:00
90,90,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_090.csv,0.22125459767971734,2.0,5000,2026-07-29T22:10:38.340313+00:00
91,91,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_091.csv,-0.023754749631962113,2.0,5000,2026-07-29T22:10:38.519418+00:00
92,92,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_092.csv,0.05643829594168892,2.0,5000,2026-07-29T22:10:38.692036+00:00
93,93,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_093.csv,0.05027570734273468,2.0,5000,2026-07-29T22:10:38.877143+00:00
94,94,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_094.csv,0.10602168349282692,2.0,5000,2026-07-29T22:10:39.047012+00:00
95,95,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_095.csv,0.023990704685274977,2.0,5000,2026-07-29T22:10:39.218018+00:00
96,96,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_096.csv,0.06249518103891205,2.0,5000,2026-07-29T22:10:39.384706+00:00
97,97,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_097.csv,0.19948932792408414,2.0,5000,2026-07-29T22:10:39.554759+00:00
98,98,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_098.csv,0.013491941831716758,2.0,5000,2026-07-29T22:10:39.722518+00:00
99,99,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_099.csv,0.06249518103891205,2.0,5000,2026-07-29T22:10:39.901885+00:00
100,100,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_100.csv,0.10357259609259017,2.0,5000,2026-07-29T22:10:40.085159+00:00
