artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
HF01-ART-0185,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_hf2_summary.csv,raw_primary,text/csv,365,2026-08-26T21:30:45.474500Z,2026-08-26T21:30:45.474500Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0186,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_offset_1_pico.csv,raw_primary,text/csv,76234,2026-08-26T21:29:18.815188Z,2026-08-26T21:29:18.818481Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0187,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_offset_2_pico.csv,raw_primary,text/csv,74442,2026-08-26T21:30:21.795762Z,2026-08-26T21:30:21.798762Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0188,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_offset_3_pico.csv,raw_primary,text/csv,74778,2026-08-26T21:30:28.394882Z,2026-08-26T21:30:28.398643Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0189,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_pre_safe_idle.json,raw_primary,application/json,10859,2026-08-26T21:28:56.150637Z,2026-08-26T21:28:56.152153Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0190,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_status.json,raw_primary,application/json,22608,2026-08-26T21:28:50.175363Z,2026-08-26T21:30:53.130967Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0191,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_step_fall_1_pico.csv,raw_primary,text/csv,74071,2026-08-26T21:29:08.154618Z,2026-08-26T21:29:08.157619Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0192,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_step_fall_2_pico.csv,raw_primary,text/csv,73507,2026-08-26T21:29:12.456889Z,2026-08-26T21:29:12.459887Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0193,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_step_fall_3_pico.csv,raw_primary,text/csv,74152,2026-08-26T21:29:16.744727Z,2026-08-26T21:29:16.747372Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0194,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_step_rise_1_pico.csv,raw_primary,text/csv,76773,2026-08-26T21:29:05.964392Z,2026-08-26T21:29:05.968397Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
